 8522.670999  -3.351983  -3.339336  -3.296712  -3.257352  -0.039360  -0.003263   0.029976
 8522.672549  -3.360242  -3.334305  -3.296136  -3.251994  -0.044142   0.005973   0.012232
 8522.674019  -3.345803  -3.336560  -3.298259  -3.255684  -0.042575   0.004274   0.029057
 8522.675443  -3.345146  -3.333882  -3.296078  -3.255134  -0.040944   0.003139   0.026541
 8522.676843  -3.338233  -3.336331  -3.297120  -3.255544  -0.041577   0.002365   0.037309
 8522.678256  -3.344632  -3.329067  -3.297626  -3.244952  -0.052674   0.021232   0.015877
 8522.679633  -3.349128  -3.328282  -3.291678  -3.250208  -0.041471   0.004867   0.015758
 8522.681056  -3.334326  -3.326954  -3.291009  -3.246221  -0.044788   0.008843   0.028573
 8522.682434  -3.342765  -3.326676  -3.292634  -3.246853  -0.045781   0.011739   0.017953
 8522.683823  -3.340464  -3.325162  -3.293634  -3.250533  -0.043100   0.011572   0.016226
 8522.685177  -3.340466  -3.321769  -3.284564  -3.248758  -0.035806  -0.001399   0.018508
 8522.686589  -3.322425  -3.324014  -3.284651  -3.243468  -0.041182   0.001819   0.040952
 8522.687966  -3.331474  -3.321646  -3.284947  -3.248501  -0.036445  -0.000254   0.026871
 8522.689378  -3.350244  -3.314075  -3.284238  -3.243221  -0.041017   0.011180  -0.006332
 8522.690721  -3.351102  -3.315851  -3.283973  -3.249271  -0.034702   0.002824  -0.003373
 8522.692133  -3.320153  -3.316114  -3.285616  -3.239837  -0.045779   0.015281   0.026458
 8522.693499  -3.332201  -3.315326  -3.280567  -3.241388  -0.039180   0.004421   0.017884
 8522.694911  -3.345534  -3.311863  -3.280704  -3.235960  -0.044744   0.013585  -0.002512
 8522.696253  -3.353989  -3.313453  -3.280347  -3.242636  -0.037710   0.004605  -0.007430
 8522.697677  -3.333638  -3.311394  -3.278256  -3.240435  -0.037821   0.004683   0.010893
 8522.699054  -3.333849  -3.313424  -3.279172  -3.241684  -0.037488   0.003236   0.013827
 8522.700489  -3.342919  -3.312458  -3.281510  -3.239678  -0.041831   0.010883   0.000488
 8522.701843  -3.332933  -3.310214  -3.276694  -3.237868  -0.038826   0.005306   0.010801
 8522.703232  -3.321347  -3.312983  -3.282490  -3.239290  -0.043199   0.012706   0.022128
 8522.704575  -3.316446  -3.318755  -3.284091  -3.243279  -0.040812   0.006148   0.036972
 8522.705987  -3.334055  -3.318547  -3.284715  -3.238834  -0.045881   0.012049   0.018323
 8522.707364  -3.339913  -3.322846  -3.285001  -3.249490  -0.035510  -0.002335   0.020777
 8522.708742  -3.342597  -3.322985  -3.292471  -3.244629  -0.047842   0.017327   0.010903
 8522.710107  -3.344544  -3.326641  -3.292513  -3.251961  -0.040552   0.006425   0.016224
 8522.711519  -3.358226  -3.327262  -3.295302  -3.251882  -0.043419   0.011459   0.000997
 8522.712955  -3.342119  -3.331004  -3.296752  -3.248941  -0.047811   0.013559   0.023137
